,0
0,Alaska
1,Arkansas
2,Colorado
3,Connecticut
4,Delaware
5,Georgia
6,Idaho
7,Illinois
8,Indiana
9,Iowa
10,Kansas
11,Kentucky
12,Louisiana
13,Maine
14,Maryland
15,Massachusetts
16,Michigan
17,Minnesota
18,Mississippi
19,Missouri
20,Montana
21,Nebraska
22,Nevada
23,New Hampshire
24,New Jersey
25,New Mexico
26,North Carolina
27,Oregon
28,Pennsylvania
29,Rhode Island
30,South Carolina
31,Tennessee
32,Utah
33,Vermont
34,Washington
35,West Virginia
36,Wisconsin
37,Wyoming
